t p_x p_y p_z o_x o_y o_z o_w j
0.00900578498840332 -0.119783108684685 -0.0449447795287552 0.107125203561071 0.230954267421272 -0.0330775827221112 0.736240674273281 0.635228832332719 0.866376926776217
0.0193130970001221 -0.119776977736884 -0.0449657996297068 0.107116400863546 0.230622553086879 -0.0329857546959978 0.736303150613874 0.635281707898872 0.865396862379411
0.0293745994567871 -0.119765293330215 -0.0449889295266312 0.107104423130903 0.230562691058669 -0.0327074191889455 0.736263426974825 0.63536386135904 0.865070174247143
0.0394272804260254 -0.119749016206033 -0.045015686004824 0.107089441387335 0.230757802057643 -0.0324854208725632 0.736200793137135 0.635376995495204 0.864906830181009
0.0492987632751465 -0.119729679844017 -0.0450411942251334 0.107075834757247 0.230633305193666 -0.0323650545128957 0.736209956448938 0.635417722295558 0.86458014204874
0.0591237545013428 -0.119708005813019 -0.0450662120053815 0.107062198277933 0.230340781186848 -0.0323291390298952 0.736323889109604 0.635393643042111 0.864090109850337
0.0695970058441162 -0.119681788126042 -0.0450946997233148 0.107045564086208 0.230195784214319 -0.0323861218701667 0.736438088739588 0.635310932924775 0.863600077651934
0.0795421600341797 -0.119652813174431 -0.0451262917215033 0.10702931756385 0.230342774413855 -0.0324026116478344 0.736394240764461 0.635307641385385 0.863600077651934
0.0894732475280762 -0.119619395658173 -0.0451598583052436 0.107010503462699 0.230426793861159 -0.0324212854456476 0.736371929439687 0.635302081260711 0.863926765784203
0.0998740196228027 -0.119577898414515 -0.045192632098859 0.106994304366886 0.230238639057616 -0.032510598619991 0.736340868575302 0.635401727514206 0.863600077651934
0.110160827636719 -0.119526185918937 -0.0452326437398255 0.106984456839919 0.230006804997001 -0.0327379384298849 0.736357093826316 0.635455212752319 0.861803292924457
0.119854927062988 -0.119470642018906 -0.045275238353234 0.106979441699529 0.230096860200148 -0.0328562059447863 0.736303845293576 0.63547820738625 0.859843164130846
0.130127906799316 -0.119406905530558 -0.0453200397280323 0.106975671819539 0.230146184401878 -0.0328580400876248 0.736304026923173 0.635460040398746 0.85657628280816
0.139819145202637 -0.119346785285464 -0.0453558246535368 0.106971279431326 0.229843936526209 -0.033032074653146 0.736439471956064 0.635403455318995 0.849389143898252
0.150142192840576 -0.119280139242722 -0.0453923609496035 0.106961609351951 0.229344499679627 -0.0333876772546995 0.736506403146901 0.635487750942417 0.832728049152556
0.16007924079895 -0.119213188790173 -0.0454301294128557 0.106942947770458 0.22913963264842 -0.0337760565071131 0.736467949012637 0.635585688034033 0.810186568026025
0.170726776123047 -0.119143260041877 -0.0454654945846694 0.106919577221633 0.22894736231992 -0.0341515411329792 0.736431553180784 0.635677076041549 0.787971775031763
0.180387020111084 -0.119082972846998 -0.045496765224849 0.106888217884839 0.228936705165362 -0.034815985753667 0.736623275957454 0.635422679388875 0.769677239624724
0.190608501434326 -0.119020827759051 -0.0455227829474511 0.106848956576119 0.229073239092573 -0.0362115668744049 0.737678668085156 0.634069677723393 0.749259231357939
0.200980186462402 -0.118955791107731 -0.0455492676569881 0.106802376082467 0.2290198954354 -0.0366559283139972 0.73742318186237 0.634360529404357 0.728514534958885
0.211205005645752 -0.118893926059841 -0.0455793385425332 0.106748476810489 0.229000748333762 -0.0362632037619018 0.735972450980534 0.636072471274466 0.698459226790178
0.220909833908081 -0.118837495342863 -0.0456072514649662 0.106696290530904 0.229101020664051 -0.0360164820304241 0.734581073166976 0.637656790364296 0.65500970519846
0.231007814407349 -0.118782282209039 -0.0456399454580319 0.106643079018307 0.229117323615176 -0.0357882097905674 0.73289545109374 0.639600432946623 0.605843141292042
0.241374015808105 -0.118730402622476 -0.0456746222877204 0.106589998760921 0.229218086841381 -0.0356523745191314 0.731064415240921 0.641664084723756 0.573174328065186
0.251187324523926 -0.118683472626697 -0.0457042945207247 0.10654429109383 0.229206436638444 -0.0358912028498262 0.729680055757994 0.643228767384132 0.570724167073172
0.261522531509399 -0.118639096960635 -0.045737842510817 0.106497380394734 0.229734871587424 -0.0360050288151069 0.728309867968297 0.64458534182584 0.577257929718543
0.271206378936768 -0.118603868852117 -0.0457676674705791 0.106457154406178 0.230652676068552 -0.0362254369709243 0.727551590236387 0.645101344195767 0.574807768726529
0.281168222427368 -0.118574044760186 -0.0457804152853535 0.106427513112297 0.230807703027772 -0.0368063483567743 0.727548508314496 0.64501648428008 0.570724167073172
0.291092872619629 -0.11855195631995 -0.0457860013611399 0.10640648143277 0.23038046487018 -0.0375666910726786 0.727673387930069 0.644984515803616 0.574644424660394
0.301263809204102 -0.118534905778157 -0.0457911704298115 0.106387975763457 0.229995986554263 -0.0383241120988217 0.727546322239051 0.645220472084697 0.58362834829778
0.31112265586853 -0.118524502548745 -0.0458025102909471 0.106370823476003 0.230411443195803 -0.0389650880613676 0.727189069402069 0.645436554665871 0.587221917752734
0.321441173553467 -0.118519486764463 -0.0458142118972003 0.106355950625836 0.231137787373107 -0.0394691626817967 0.726930534689436 0.645437453345863 0.587875294017271
0.33179235458374 -0.118521244792602 -0.0458175725389291 0.106347696831275 0.231380954604159 -0.0400226722109001 0.726891926682296 0.645359718668331 0.589998766877017
0.34155535697937 -0.118525223509003 -0.0458143842211859 0.106345282467812 0.231216839542354 -0.0402826920480931 0.726854845701054 0.645444119280904 0.591468863472225
0.351264238357544 -0.118530367147728 -0.0458101192996482 0.106345882886308 0.231119165605202 -0.040371491944372 0.726855016127299 0.645473360766132 0.590652143141554
0.361919164657593 -0.118535428918178 -0.0458041321171027 0.106345436390069 0.231153034055556 -0.0403072483140277 0.726865527657153 0.645453410622294 0.588692014347942
